date,FUR01_Z1_TEMP_L,FUR01_Z1_TEMP_R,FUR01_Z2_TEMP_L,FUR01_Z2_TEMP_R,FUR01_Z3_TEMP_L,FUR01_Z3_TEMP_R,FUR01_MAT_TEMP,FUR01_EXH_TEMP,FUR01_LINE_SPEED
2026-02-16,1195.0,1199.0,1211.5,1227.0,1248.0,1250.0,1171.0,639.0,14.0
2026-02-17,1196.0,1201.0,1212.0,1229.0,1249.0,1252.0,1172.0,641.0,14.0
2026-02-18,1195.0,1200.0,1210.5,1228.0,1248.0,1251.0,1171.0,640.0,14.0
2026-02-19,1194.0,1200.0,1209.0,1228.0,1247.0,1251.0,1170.0,640.0,14.0
2026-02-20,1195.0,1200.0,1209.5,1228.0,1248.0,1251.0,1170.5,640.0,14.0
2026-02-21,1196.0,1201.0,1210.0,1229.0,1249.0,1252.0,1171.5,641.0,14.0
2026-02-22,1194.0,1200.0,1207.5,1228.0,1247.0,1251.0,1169.5,640.0,14.0
2026-02-23,1195.0,1199.0,1208.0,1227.0,1248.0,1250.0,1170.5,639.0,14.0
2026-02-24,1196.0,1201.0,1208.5,1229.0,1249.0,1252.0,1171.5,641.0,14.0
2026-02-25,1194.0,1200.0,1206.0,1228.0,1247.0,1251.0,1169.5,640.0,14.0
2026-02-26,1195.0,1199.0,1206.5,1227.0,1248.0,1250.0,1170.0,639.0,14.0
2026-02-27,1196.0,1201.0,1207.0,1229.0,1249.0,1252.0,1171.0,641.0,14.0
2026-02-28,1195.0,1200.0,1205.5,1228.0,1248.0,1251.0,1170.0,640.0,14.0
2026-03-01,1194.0,1200.0,1204.0,1228.0,1247.0,1251.0,1169.0,640.0,14.0
