date,HYD01_PRESS_PUMP,HYD01_PRESS_FILT_IN,HYD01_PRESS_FILT_OUT,HYD01_FLOW,HYD01_OILTEMP,HYD01_LEVEL,HYD01_PUMP_CURRENT
2026-02-06,154.0,152.0,149.0,118.0,42.5,88.0,31.5
2026-02-07,152.0,150.0,146.5,118.5,42.5,88.0,32.0
2026-02-08,151.0,149.0,145.5,117.0,42.0,88.0,31.0
2026-02-09,153.0,151.0,147.5,118.0,43.0,88.0,31.5
2026-02-10,152.0,150.0,146.5,118.0,42.5,88.0,31.5
2026-02-11,153.0,151.0,147.0,118.5,42.5,88.0,31.5
2026-02-12,152.0,150.0,146.0,117.5,43.0,88.0,31.0
2026-02-13,150.5,148.5,144.5,118.0,43.0,88.0,32.0
2026-02-14,152.5,150.5,146.5,118.5,43.5,88.0,31.5
2026-02-15,151.5,149.5,145.5,117.5,43.0,88.0,31.0
2026-02-16,153.5,151.5,147.0,118.0,43.5,88.0,31.5
2026-02-17,151.5,149.5,145.0,118.5,43.5,88.0,32.0
2026-02-18,150.5,148.5,144.0,117.0,43.5,88.0,31.0
2026-02-19,152.5,150.5,146.0,118.0,44.5,88.0,31.5
2026-02-20,151.5,149.5,144.5,118.0,43.5,88.0,31.5
2026-02-21,152.0,150.0,145.0,118.0,43.5,88.0,32.0
2026-02-22,151.0,149.0,144.0,117.0,44.5,88.0,31.5
2026-02-23,150.0,148.0,143.0,117.5,44.5,88.0,32.5
2026-02-24,152.0,150.0,144.5,118.0,44.5,88.0,32.0
2026-02-25,151.0,149.0,143.5,117.0,44.0,88.0,31.5
2026-02-26,153.0,151.0,145.5,117.5,45.0,88.0,32.0
2026-02-27,151.0,149.0,143.5,118.0,45.0,88.0,32.5
2026-02-28,150.0,148.0,142.5,116.5,44.5,88.0,31.5
2026-03-01,151.5,149.5,143.5,117.5,45.5,88.0,32.0
2026-03-02,150.5,148.5,146.0,117.5,45.0,88.0,32.0
2026-03-03,151.5,149.5,147.0,118.0,45.0,88.0,32.0
2026-03-04,150.5,148.5,145.5,117.0,45.5,88.0,31.5
2026-03-05,149.5,147.5,144.5,117.5,46.0,88.0,32.5
2026-03-06,151.5,149.5,146.5,118.0,46.0,88.0,32.0
2026-03-07,150.5,148.5,145.0,117.0,45.5,88.0,31.5
2026-03-08,152.5,150.5,147.0,117.5,46.0,88.0,32.0
2026-03-09,150.5,148.5,145.0,118.0,46.5,88.0,32.5
2026-03-10,149.0,147.0,143.5,116.5,46.0,88.0,31.5
2026-03-11,151.0,149.0,145.0,117.5,47.0,88.0,32.0
2026-03-12,150.0,148.0,144.0,117.5,46.0,88.0,32.0
2026-03-13,151.0,149.0,145.0,118.0,46.5,88.0,32.0
2026-03-14,150.0,148.0,143.5,117.0,47.0,88.0,31.5
2026-03-15,149.0,147.0,142.5,117.5,47.0,88.0,32.5
2026-03-16,151.0,149.0,144.5,118.0,47.0,88.0,32.0
2026-03-17,150.0,148.0,143.0,117.0,47.0,88.0,31.5
2026-03-18,151.5,149.5,144.5,117.0,47.5,88.0,32.5
2026-03-19,149.5,147.5,142.5,117.5,47.5,88.0,33.0
2026-03-20,148.5,146.5,141.5,116.0,47.0,88.0,32.0
2026-03-21,150.5,148.5,143.0,117.0,48.5,88.0,32.5
2026-03-22,149.5,147.5,142.0,117.0,47.5,88.0,32.5
2026-03-23,150.5,148.5,143.0,117.5,47.5,88.0,32.5
2026-03-24,149.5,147.5,141.5,116.5,48.0,88.0,32.0
2026-03-25,148.5,146.5,140.5,117.0,48.5,88.0,33.0
2026-03-26,150.0,148.0,142.0,117.5,48.5,88.0,32.5
2026-03-27,149.0,147.0,140.5,116.5,48.0,88.0,32.0
2026-03-28,151.0,149.0,142.5,117.0,48.5,88.0,32.5
2026-03-29,149.0,147.0,140.5,117.5,49.0,88.0,33.0
2026-03-30,148.0,146.0,139.5,116.0,48.5,88.0,32.0
2026-03-31,150.0,148.0,141.0,117.0,49.5,88.0,32.5
